year_month,year,month,year_month_label,market,sales,orders,profit,running_sales_ytd,sales_ma_3m,prev_month_sales,sales_mom_pct,sales_prev_year_same_month,sales_yoy_pct,otif_rate,market_rank
201501,2015,1,2015-01,LATAM,1051290.08,4695,111571.95,1051290.08,1051290.08,,,,,17.316293929712458,1
201502,2015,2,2015-02,LATAM,927009.88,4121,99140.66,1978299.96,989149.98,1051290.08,-11.8216,,,15.04489201650085,1
201503,2015,3,2015-03,LATAM,1051253.67,4709,113778.21,3029553.63,1009851.21,927009.88,13.4026,,,16.075599915056273,1
201504,2015,4,2015-04,LATAM,1014463.26,4503,108083.68,4044016.89,997575.603333,1051253.67,-3.4996,,,16.98867421718854,1
201505,2015,5,2015-05,Europe,22606.92,110,2957.45,22606.92,22606.92,,,,,7.2727272727272725,2
201505,2015,5,2015-05,LATAM,1027871.5,4612,109190.45,5071888.39,1031196.143333,1014463.26,1.3217,,,16.522116218560278,1
201506,2015,6,2015-06,Europe,1024006.15,4479,110147.16,1046613.07,523306.535,22606.92,4429.6137,,,16.253628041973656,1
201507,2015,7,2015-07,Europe,1038081.17,4677,115624.06,2084694.24,694898.08,1024006.15,1.3745,,,15.458627325208468,1
201508,2015,8,2015-08,Europe,1029494.67,4625,117979.77,3114188.91,1030527.33,1038081.17,-0.8271,,,16.605405405405406,1
201509,2015,9,2015-09,Europe,1018338.58,4520,113467.94,4132527.49,1028638.14,1029494.67,-1.0836,,,14.513274336283185,1
201510,2015,10,2015-10,Europe,780877.85,3494,74250.87,4913405.34,942903.7,1018338.58,-23.3184,,,15.51230681167716,1
201510,2015,10,2015-10,Pacific Asia,268276.4,1201,27507.0,268276.4,268276.4,,,,,15.986677768526228,2
201511,2015,11,2015-11,Pacific Asia,1029120.22,4635,104427.36,1297396.62,648698.31,268276.4,283.6044,,,16.548004314994603,1
201512,2015,12,2015-12,Pacific Asia,1057840.86,4718,110641.55,2355237.48,785079.16,1029120.22,2.7907,,,15.048749470114457,1
201601,2016,1,2016-01,Pacific Asia,1046308.23,4637,106780.95,1046308.23,1044423.103333,1057840.86,-1.0902,,,15.548846236791029,1
201602,2016,2,2016-02,Pacific Asia,968542.83,4316,86809.49,2014851.06,1024230.64,1046308.23,-7.4323,,,15.407784986098239,1
201603,2016,3,2016-03,Pacific Asia,1025853.1,4543,101259.99,3040704.16,1013568.053333,968542.83,5.9171,,,14.48382126348228,1
201604,2016,4,2016-04,Pacific Asia,31615.07,129,5964.79,3072319.23,675337.0,1025853.1,-96.9181,,,10.077519379844961,2
201604,2016,4,2016-04,USCA,969596.49,4336,109011.83,969596.49,969596.49,,,,,16.512915129151292,1
201605,2016,5,2016-05,USCA,1029400.18,4630,110716.12,1998996.67,999498.335,969596.49,6.1678,,,15.788336933045358,1
201606,2016,6,2016-06,USCA,1003059.53,4459,104196.07,3002056.2,1000685.4,1029400.18,-2.5588,,,15.922852657546535,1
201607,2016,7,2016-07,USCA,1045715.6,4634,119941.72,4047771.8,1026058.436666,1003059.53,4.2525,,,15.925766076823479,1
201608,2016,8,2016-08,Africa,96740.44,438,8755.8,96740.44,96740.44,,,,,21.689497716894977,2
201608,2016,8,2016-08,Europe,27253.63,118,1194.29,27253.63,608823.353333,780877.85,-96.5098,,,30.508474576271187,4
201608,2016,8,2016-08,Pacific Asia,82106.42,374,2269.79,3154425.65,379858.196666,31615.07,159.7065,,,22.727272727272727,3
201608,2016,8,2016-08,USCA,842099.74,3757,98509.66,4889871.54,963624.956666,1045715.6,-19.4714,,,14.745807825392601,1
201609,2016,9,2016-09,Africa,507614.65,2273,65462.68,604355.09,302177.545,96740.44,424.7181,,,20.3695556533216,1
201609,2016,9,2016-09,Europe,163844.04,735,19897.61,191097.67,323991.84,27253.63,501.1824,,,12.51700680272109,3
201609,2016,9,2016-09,Pacific Asia,297721.68,1351,36287.32,3452147.33,137147.723333,82106.42,262.6046,,,15.544041450777202,2
201609,2016,9,2016-09,USCA,33216.65,174,1737.1,4923088.19,640343.996666,842099.74,-96.0554,,,8.045977011494253,4
201610,2016,10,2016-10,Africa,462024.88,2083,49135.42,1066379.97,355459.99,507614.65,-8.9811,,,16.322611617858858,1
201610,2016,10,2016-10,Europe,195124.2,863,22052.32,386221.87,128740.623333,163844.04,19.0914,,,17.033603707995365,3
201610,2016,10,2016-10,Pacific Asia,359156.62,1640,41592.01,3811303.95,246328.24,297721.68,20.635,,,14.69512195121951,2
201610,2016,10,2016-10,USCA,31824.83,158,4002.22,4954913.02,302380.406666,33216.65,-4.1901,,,12.658227848101266,4
201611,2016,11,2016-11,Africa,492548.64,2113,48290.04,1558928.61,487396.056666,462024.88,6.6065,,,17.321344060577378,1
201611,2016,11,2016-11,Europe,194659.65,866,18713.64,580881.52,184542.63,195124.2,-0.238,,,18.59122401847575,3
201611,2016,11,2016-11,Pacific Asia,312580.48,1395,35610.91,4123884.43,323152.926666,359156.62,-12.9681,,,12.831541218637993,2
201611,2016,11,2016-11,USCA,47801.35,185,6924.61,5002714.37,37614.276666,31824.83,50.2014,,,22.162162162162165,4
201612,2016,12,2016-12,Africa,487694.11,2166,50254.69,2046622.72,480755.876666,492548.64,-0.9855,,,14.312096029547552,1
201612,2016,12,2016-12,Europe,180441.81,811,18255.6,761323.33,190075.22,194659.65,-7.3039,,,18.865598027127003,3
