year,month,month_name,market,shipping_mode,customer_segment,total_orders,otif_orders,on_time_orders,complete_orders,late_risk_orders,late_deliveries,canceled_deliveries,otif_rate,on_time_rate,in_full_rate,late_delivery_rate,cancel_rate,avg_shipping_days,avg_scheduled_days,avg_delay_days
2015,1,janvier,LATAM,Same Day,Home Office,40,13,22,20,18,18,0,32.5,55.00000000000001,50.0,45.0,0.0,0,0,0
2015,1,janvier,LATAM,Second Class,Corporate,351,15,82,100,264,264,10,4.273504273504273,23.36182336182336,28.49002849002849,75.21367521367522,2.849002849002849,3,2,1
2015,1,janvier,LATAM,Standard Class,Home Office,566,121,373,187,191,191,21,21.37809187279152,65.90106007067138,33.03886925795053,33.745583038869256,3.7102473498233217,3,4,-1
2015,1,janvier,LATAM,Same Day,Consumer,163,16,72,34,91,91,0,9.815950920245399,44.171779141104295,20.858895705521473,55.828220858895705,0.0,0,0,0
2015,1,janvier,LATAM,First Class,Corporate,169,0,0,31,162,162,7,0.0,0.0,18.34319526627219,95.85798816568047,4.142011834319527,2,1,1
2015,1,janvier,LATAM,First Class,Home Office,142,0,0,36,136,136,6,0.0,0.0,25.352112676056336,95.77464788732394,4.225352112676056,2,1,1
2015,1,janvier,LATAM,Second Class,Consumer,542,46,104,185,418,418,20,8.487084870848708,19.18819188191882,34.132841328413285,77.12177121771218,3.6900369003690034,3,2,1
2015,1,janvier,LATAM,First Class,Consumer,380,0,0,132,367,367,13,0.0,0.0,34.73684210526316,96.57894736842105,3.421052631578948,2,1,1
2015,1,janvier,LATAM,Same Day,Corporate,52,18,36,24,10,10,8,34.61538461538461,69.23076923076923,46.15384615384615,19.230769230769234,15.384615384615385,0,0,0
2015,1,janvier,LATAM,Standard Class,Consumer,1677,371,986,603,669,669,69,22.12283840190817,58.79546809779368,35.95706618962433,39.89266547406082,4.114490161001789,4,4,0
2015,1,janvier,LATAM,Second Class,Home Office,198,6,38,54,160,160,0,3.0303030303030303,19.19191919191919,27.27272727272727,80.8080808080808,0.0,3,2,1
2015,1,janvier,LATAM,Standard Class,Corporate,1041,207,631,354,394,394,54,19.88472622478386,60.6147934678194,34.00576368876081,37.848222862632085,5.187319884726225,4,4,0
2015,2,février,LATAM,First Class,Consumer,393,0,0,116,374,374,19,0.0,0.0,29.51653944020356,95.16539440203562,4.8346055979643765,2,1,1
2015,2,février,LATAM,First Class,Corporate,228,0,0,81,214,214,14,0.0,0.0,35.526315789473685,93.85964912280701,6.140350877192982,2,1,1
2015,2,février,LATAM,Same Day,Corporate,77,11,36,25,36,36,5,14.285714285714285,46.75324675324675,32.467532467532465,46.75324675324675,6.493506493506493,0,0,0
2015,2,février,LATAM,Second Class,Corporate,278,18,53,108,214,214,14,6.474820143884892,19.06474820143885,38.84892086330935,76.97841726618705,5.0359712230215825,3,2,1
2015,2,février,LATAM,Same Day,Home Office,55,9,19,10,31,31,5,16.363636363636363,34.54545454545455,18.181818181818183,56.36363636363636,9.090909090909092,0,0,0
2015,2,février,LATAM,Same Day,Consumer,130,23,58,54,69,69,6,17.692307692307693,44.61538461538462,41.53846153846154,53.07692307692308,4.615384615384616,0,0,0
2015,2,février,LATAM,First Class,Home Office,112,0,0,19,107,107,5,0.0,0.0,16.964285714285715,95.53571428571429,4.464285714285714,2,1,1
2015,2,février,LATAM,Standard Class,Home Office,530,125,337,199,183,183,18,23.58490566037736,63.58490566037736,37.54716981132076,34.52830188679245,3.3962264150943398,3,4,-1
2015,2,février,LATAM,Standard Class,Consumer,1407,234,841,428,540,540,63,16.631130063965884,59.772565742715,30.419331911869225,38.37953091684435,4.477611940298507,3,4,-1
2015,2,février,LATAM,Second Class,Home Office,211,6,36,60,166,166,15,2.843601895734597,17.061611374407583,28.436018957345972,78.67298578199052,7.109004739336493,4,2,2
2015,2,février,LATAM,Second Class,Consumer,488,25,107,163,358,358,33,5.122950819672131,21.92622950819672,33.40163934426229,73.36065573770492,6.762295081967213,3,2,1
2015,2,février,LATAM,Standard Class,Corporate,820,169,503,257,302,302,45,20.609756097560975,61.34146341463415,31.341463414634145,36.829268292682926,5.487804878048781,3,4,-1
2015,3,mars,LATAM,Second Class,Consumer,567,40,117,124,420,420,40,7.054673721340388,20.634920634920633,21.869488536155202,74.07407407407408,7.054673721340388,4,2,2
2015,3,mars,LATAM,Standard Class,Home Office,554,142,329,192,207,207,25,25.63176895306859,59.38628158844765,34.65703971119133,37.36462093862816,4.512635379061372,3,4,-1
2015,3,mars,LATAM,First Class,Corporate,261,0,0,102,254,254,7,0.0,0.0,39.08045977011494,97.31800766283524,2.681992337164751,2,1,1
2015,3,mars,LATAM,Same Day,Corporate,80,19,42,23,36,36,2,23.75,52.5,28.749999999999996,45.0,2.5,0,0,0
2015,3,mars,LATAM,Same Day,Consumer,164,17,95,49,68,68,7,10.365853658536585,57.92682926829268,29.878048780487802,41.46341463414634,4.2682926829268295,0,0,0
2015,3,mars,LATAM,First Class,Consumer,454,0,0,148,448,448,6,0.0,0.0,32.59911894273127,98.6784140969163,1.3215859030837005,2,1,1
2015,3,mars,LATAM,First Class,Home Office,146,0,0,52,139,139,7,0.0,0.0,35.61643835616438,95.2054794520548,4.794520547945205,2,1,1
2015,3,mars,LATAM,Second Class,Corporate,270,15,45,64,219,219,8,5.555555555555555,16.666666666666664,23.703703703703706,81.11111111111111,2.9629629629629632,4,2,2
2015,3,mars,LATAM,Second Class,Home Office,197,18,50,66,146,146,1,9.137055837563452,25.380710659898476,33.50253807106599,74.11167512690355,0.5076142131979695,4,2,2
2015,3,mars,LATAM,Same Day,Home Office,42,7,32,7,10,10,0,16.666666666666664,76.19047619047619,16.666666666666664,23.809523809523807,0.0,0,0,0
2015,3,mars,LATAM,Standard Class,Consumer,1610,307,965,485,614,614,79,19.06832298136646,59.93788819875776,30.124223602484474,38.13664596273292,4.906832298136646,4,4,0
